type,amount,otherPlayer,player,time
Postage,30,Neffer,Neffbankherb,1572252075
Postage,360,Nefferbank,Neffbankfish,1572291537
Money Transfer,200000,Neffer,Neffbankherb,1572252075
Money Transfer,500000,Neffer,Nefferbank,1572307375
Postage,30,Neffer,Nefferbank,1572375712
Postage,120,Nefferbank,Neffer,1572397155
Postage,60,Neffbankench,Neffer,1572397169
Postage,30,Neffbankherb,Neffer,1572397162
Postage,570,Nefferbank,Neffer,1572476406
Repair Bill,13245,Merchant,Neffer,1572482304
Money Transfer,200000,Neffer,Nefferbank,1572511540
Postage,30,Neffer,Nefferbank,1572511540
Repair Bill,26860,Merchant,Neffer,1572640762
Postage,30,Neffbankherb,Neffer,1572640808
Postage,210,Nefferbank,Neffer,1572640799
Repair Bill,109,Merchant,Confused,1572656819
Postage,30,Visas,Neffer,1572561394
Postage,30,Nefferbank,Neffbankfish,1572694457
Repair Bill,49,Merchant,Confused,1572714415
Repair Bill,50,Merchant,Confused,1572723286
Postage,60,Nefferbank,Neffer,1572715110
Money Transfer,300000,Nefferbank,Neffbankfish,1572694457
Postage,90,Neffer,Nefferbank,1572568361
Repair Bill,5356,Merchant,Neffer,1572476338
Repair Bill,4356,Merchant,Neffer,1572397040
Postage,60,Nefferbank,Neffer,1572748258
Postage,30,Neffbankfish,Neffer,1572748264
Postage,390,Nefferbank,Neffer,1572744794
Money Transfer,1000000,Neffer,Nefferbank,1572375712
Postage,30,Neffer,Nefferbank,1572307375
Money Transfer,20000,Neffstorage,Nefferbank,1572802975
Postage,30,Neffbankench,Nefferbank,1572803031
Postage,660,Neffstorage,Nefferbank,1572802946
Postage,180,Nefferbank,Confused,1572808717
Postage,300,Nefferbank,Neffer,1572823499
Postage,60,Neffstorage,Nefferbank,1572826950
Postage,60,Neffbankherb,Nefferbank,1572826966
Postage,30,Neffer,Nefferbank,1572893566
Postage,360,Neffstorage,Nefferbank,1572893573
Repair Bill,9774,Merchant,Neffer,1572901497
Postage,60,Neffbankherb,Confused,1572907342
Postage,30,Nefferbank,Confused,1572907357
Postage,30,Neffer,Confused,1572907350
Postage,30,Neffstorage,Nefferbank,1572914456
Repair Bill,347,Merchant,Confused,1572907271
Postage,60,Neffstorage,Neffer,1572943923
Money Transfer,100000,Neffer,Nefferbank,1572981609
Repair Bill,31077,Merchant,Neffer,1572994729
Postage,30,Nefferbank,Neffer,1572994623
Postage,240,Neffstorage,Neffer,1573029396
Postage,90,Neffstorage,Neffer,1573068799
Postage,30,Neffer,Nefferbank,1573078035
Repair Bill,1513,Merchant,Confused,1573081280
Postage,30,Neffer,Neffstorage,1573149166
Money Transfer,250000,Neffer,Neffstorage,1573149166
Postage,30,Neffbankench,Neffer,1573164774
Postage,120,Neffbankfish,Neffer,1573165046
Repair Bill,14252,Merchant,Neffer,1573164789
Postage,90,Neffstorage,Neffer,1573200360
Money Transfer,50000,Jione,Neffer,1573306744
Postage,30,Neffbankench,Neffer,1573311652
Postage,90,Nefferbank,Neffer,1573311671
Postage,30,Neffbankherb,Neffer,1573391745
Postage,30,Nefferbank,Neffer,1573391755
Postage,180,Neffbankfish,Neffer,1573311684
Postage,150,Neffbankherb,Neffer,1573406255
Postage,30,Confused,Neffbankfish,1573406511
Postage,30,Neffer,Neffbankfish,1573406531
Postage,30,Neffstorage,Neffer,1573412935
Repair Bill,43743,Merchant,Neffer,1573421312
Postage,60,Neffstorage,Neffer,1573421489
Postage,30,Neffbankherb,Neffer,1573432388
Postage,30,Neffbankfish,Neffer,1573432395
Postage,30,Neffer,Nefferbank,1573496676
Postage,30,Neffbankench,Neffer,1573496928
