type,amount,otherPlayer,player,time
Money Transfer,400000,Celehorn,Frozengold,1593107439
Money Transfer,400000,Exspes,Frozengold,1593107449
Money Transfer,400000,Scorepan,Frozengold,1593107450
Money Transfer,400000,Enslave,Frozengold,1593107460
Money Transfer,400000,Gicanu,Frozengold,1593107478
Money Transfer,400000,Kuzuri,Frozengold,1593107487
Money Transfer,400000,Firelordozai,Frozengold,1593107491
Money Transfer,4000000,Lähitapiola,Frozengold,1593107492
Money Transfer,2000000,Phaedon,Frozengold,1593107525
Money Transfer,400000,Dizzay,Frozengold,1593107575
Money Transfer,400000,Rikxx,Frozengold,1593114409
Money Transfer,400000,Drunkan,Frozengold,1593118621
Money Transfer,400000,Deceptions,Frozengold,1593118639
Money Transfer,400000,Fesha,Frozengold,1593118649
Money Transfer,400000,Frostmon,Frozengold,1593118757
Money Transfer,400000,Demusske,Frozengold,1593129127
Money Transfer,400000,Jione,Frozengold,1593118951
Money Transfer,400000,Týr,Frozengold,1593107517
Money Transfer,1284256,Thepotman,Nefferbank,1593120864
Money Transfer,400000,Marodören,Frozengold,1593195300
Money Transfer,15158384,Neffer,Nefferbank,1593128930
Money Transfer,400000,Spidle,Frozengold,1593107447
Money Transfer,20000,Confused,Neffbankench,1578875262
Money Transfer,21779,Horde Auction House,Neffer,1578758816
Money Transfer,100000,Nefferbank,Neffer,1579115929
Money Transfer,38600,Horde Auction House,Neffer,1578013506
Money Transfer,600000,Neffbankfish,Neffer,1578532306
Money Transfer,1100000,Nefferbank,Neffer,1578761937
Money Transfer,1500000,Nefferbank,Neffer,1578532186
Money Transfer,1800000,Neffbankfish,Neffer,1578744834
Money Transfer,800000,Neffbankfish,Neffer,1578646993
Money Transfer,1100000,Neffbankfish,Neffer,1578609214
Money Transfer,700000,Neffbankfish,Neffer,1578474644
Money Transfer,1900000,Neffbankfish,Neffer,1578511173
Money Transfer,550000,Neffbankfish,Neffer,1578443994
Money Transfer,43921,Horde Auction House,Neffer,1572211902
Money Transfer,500000,Nefferbank,Neffer,1572307392
Money Transfer,421219,Horde Auction House,Neffer,1572206281
Money Transfer,700000,Nefferbank,Neffer,1577912363
Money Transfer,900000,Nefferbank,Neffer,1572482974
Money Transfer,355000,Horde Auction House,Neffer,1576278646
Money Transfer,120000,Neffer,Jidask,1577714929
Money Transfer,250000,Nefferbank,Neffer,1572943910
Money Transfer,100000,Neffstorage,Neffer,1572980911
Money Transfer,200000,Nefferbank,Neffer,1577630345
Money Transfer,300000,Neffstorage,Neffer,1576432058
Money Transfer,160000,Neffbankherb,Neffer,1576431891
Money Transfer,350000,Neffbankherb,Neffer,1576666417
Money Transfer,43858,Horde Auction House,Neffer,1577359032
Money Transfer,212320,Horde Auction House,Neffer,1577464237
Money Transfer,98775,Horde Auction House,Neffer,1577108592
Money Transfer,1600000,Nefferbank,Neffer,1577388433
Money Transfer,1109700,Horde Auction House,Neffer,1577105568
Money Transfer,1040000,Nefferbank,Neffer,1576682964
Money Transfer,70000,Nefferbank,Neffer,1576666584
Money Transfer,700000,Nefferbank,Neffer,1576973194
Money Transfer,24079,Neffstorage,Nefferbank,1576940691
Money Transfer,98100,Horde Auction House,Neffer,1576813643
Money Transfer,1700000,Nefferbank,Neffer,1576801096
Money Transfer,880000,Neffbankfish,Neffer,1576712511
Money Transfer,50000,Confused,Neffer,1576666681
Money Transfer,250000,Neffstorage,Neffer,1576606719
Money Transfer,50000,Nefferbank,Neffer,1576606930
Money Transfer,1800000,Horde Auction House,Neffer,1572511277
Money Transfer,10000,Visas,Confused,1576093010
Money Transfer,186800,Horde Auction House,Neffer,1572909906
Money Transfer,300000,Confused,Neffer,1576109123
Money Transfer,300000,Nefferbank,Neffer,1576166143
Money Transfer,1200000,Neffstorage,Neffer,1572995109
Money Transfer,123372,Horde Auction House,Neffer,1572180115
Money Transfer,200000,Confused,Neffer,1573943957
Money Transfer,800000,Nefferbank,Neffer,1575821091
Money Transfer,250000,Nefferbank,Neffer,1573942556
Money Transfer,300000,Nefferbank,Neffer,1573941408
Money Transfer,700000,Nefferbank,Neffer,1573939424
Money Transfer,100000,Nefferbank,Confused,1575750035
Money Transfer,553725,Horde Auction House,Neffer,1575661194
Money Transfer,950000,Nefferbank,Neffer,1574902248
Money Transfer,100000,Confused,Neffer,1575501316
Money Transfer,600000,Confused,Neffer,1575679986
Money Transfer,110000,Neffbankench,Neffer,1575502335
Money Transfer,150000,Neffbankfish,Neffer,1575502481
Money Transfer,1000000,Neffer,Confused,1575057446
Money Transfer,1100000,Nefferbank,Neffer,1575416869
Money Transfer,750000,Nefferbank,Neffer,1575362473
Money Transfer,261592,Horde Auction House,Neffer,1573215848
Money Transfer,500000,Confused,Neffer,1575321855
Money Transfer,120000,Neffbankfish,Neffer,1574707434
Money Transfer,43299,Horde Auction House,Neffer,1573241547
Money Transfer,1300000,Neffstorage,Neffer,1573992709
Money Transfer,230000,Neffbankherb,Neffer,1573992850
Money Transfer,30000,Neffbankench,Neffer,1573992886
Money Transfer,59425,Horde Auction House,Neffer,1574363924
Money Transfer,100000,Neffbankfish,Neffer,1574015912
Money Transfer,400000,Nefferbank,Neffer,1574015771
Money Transfer,650000,Nefferbank,Neffer,1573993145
Money Transfer,1229117,Horde Auction House,Neffer,1573322493
Money Transfer,650000,Nefferbank,Neffer,1573846051
Money Transfer,1150000,Nefferbank,Neffer,1573510581
Money Transfer,500000,Nefferbank,Neffer,1573496680
Money Transfer,87537,Horde Auction House,Neffer,1573316713
Money Transfer,263550,Horde Auction House,Neffer,1573227878
Money Transfer,35640,Horde Auction House,Neffer,1573216481
Money Transfer,545300,Horde Auction House,Neffer,1572996003
Money Transfer,20000,Nefferbank,Neffstorage,1572802977
Money Transfer,420750,Horde Auction House,Neffer,1572548639
Money Transfer,200000,Nefferbank,Confused,1572714326
Money Transfer,300000,Neffbankfish,Nefferbank,1572694460
Money Transfer,730966,Horde Auction House,Neffer,1572549545
Money Transfer,277020,Horde Auction House,Neffer,1572614446
Money Transfer,400000,Nefferbank,Neffer,1572715082
Money Transfer,171996,Horde Auction House,Neffer,1572681868
Money Transfer,1227072,Horde Auction House,Neffer,1572579128
Money Transfer,1170000,Horde Auction House,Neffer,1572592151
Money Transfer,4952430,Horde Auction House,Neffer,1573322917
Money Transfer,700000,Neffbankherb,Neffer,1578184029
Money Transfer,1700000,Neffstorage,Neffer,1573066355
Money Transfer,157500,Horde Auction House,Neffer,1573393251
Money Transfer,160000,Neffbankench,Neffer,1578234961
Money Transfer,500000,Nefferbank,Neffer,1578854860
Money Transfer,1150000,Neffbankfish,Neffer,1578358915
Money Transfer,300000,Nefferbank,Neffer,1579447017
Money Transfer,450000,Confused,Neffer,1580737245
Money Transfer,100000,Neffbankfish,Neffer,1580756496
Money Transfer,340000,Neffbankherb,Neffer,1580756549
Money Transfer,470000,Neffstorage,Neffer,1580757004
Money Transfer,150000,Nefferbank,Neffer,1580757247
Money Transfer,80000,Neffbankherb,Neffer,1580738234
Money Transfer,500000,Confused,Neffer,1580773947
Money Transfer,100000,Neffbankfish,Neffer,1580928907
Money Transfer,200000,Neffbankherb,Neffer,1581331227
Money Transfer,350000,Neffbankench,Neffer,1581331095
Money Transfer,350000,Neffbankench,Neffer,1581342348
Money Transfer,500000,Nefferbank,Neffer,1581382114
Money Transfer,1000000,Neffbankench,Neffer,1581360817
Money Transfer,250000,Neffbankench,Neffer,1581496423
Money Transfer,1600000,Neffbankench,Neffer,1581461745
Money Transfer,2000000,Nefferbank,Neffer,1581459021
Money Transfer,500000,Neffbankench,Neffer,1581542512
Money Transfer,300000,Neffbankench,Neffer,1581591549
Money Transfer,1700000,Neffbankench,Neffer,1581603951
Money Transfer,600000,Nefferbank,Neffer,1582675853
Money Transfer,800000,Neffbankench,Neffer,1582676063
Money Transfer,1500000,Confused,Neffer,1582674563
Money Transfer,190000,Neffbankherb,Confused,1583526077
Money Transfer,1300000,Neffer,Confused,1583536479
Money Transfer,1450000,Marnaa,Neffer,1586006863
Money Transfer,250000,Confused,Neffer,1586006801
Money Transfer,30000000,Frozbank,Neffer,1586006683
Money Transfer,350000,Nefferbank,Neffer,1586006593
Money Transfer,570000,Neffbankench,Neffer,1586006487
Money Transfer,300000,Confused,Neffer,1586018369
Money Transfer,150000,Nefferbank,Neffer,1586017739
Money Transfer,2400000,Neffbankench,Neffer,1586017636
Money Transfer,700000,Confused,Marnaa,1586043185
Money Transfer,33489,Horde Auction House,Neffbankench,1586031509
Money Transfer,250000,Marnaa,Neffer,1586017504
Money Transfer,670000,Neffbankench,Marnaa,1586797273
Money Transfer,300000,Nefferbank,Neffer,1586972789
Money Transfer,370050,Horde Auction House,Neffbankench,1587133791
Money Transfer,19819,Horde Auction House,Neffbankench,1587226361
Money Transfer,700000,Nefferbank,Neffbankench,1587746052
Money Transfer,1000000,Neffer,Neffbankench,1587746128
Money Transfer,1500000,Marnaa,Neffer,1586986462
Money Transfer,840028,Horde Auction House,Neffbankench,1587677826
Money Transfer,450000,Nefferbank,Neffbankench,1587917999
Money Transfer,2400000,Marnaa,Neffbankench,1587917498
Money Transfer,100000,Nefferbank,Marnaa,1586797531
Money Transfer,100000,Nefferbank,Marnaa,1588073486
Money Transfer,250000,Neffer,Marnaa,1588073522
Money Transfer,575161,Horde Auction House,Neffbankench,1588105961
Money Transfer,225063,Horde Auction House,Neffbankench,1588086904
